no,TI,ID
469,AROMA-THERAPEUTIC EFFECTS OF MASSAGE BLENDED ESSENTIAL OILS ON HUMANS,bergamot oil;essential oil;lavender oil;placebo;bergamot oil;essential oil;lavender oil;vegetable oil;adult;alertness;anxiety disorder;aromatherapy;arousal;article;attention;autonomic nervous system function;blood pressure measurement;blood pressure regulation;breathing rate;calmness;controlled study;depression;diastolic blood pressure;drug administration route;drug mechanism;drug mixture;emotion;female;human;human experiment;leisure;massage;mood;nonhuman;normal human;pulse rate;skin temperature;systolic blood pressure;chemistry;clinical trial;controlled clinical trial;male;middle aged;lavandula;adult;aromatherapy;female;humans;male;massage;middle aged;oils;volatile;plant oils;relaxation;young adult
470,OCULAR DIGITAL MASSAGE FOR THE MANAGEMENT OF POST-TRABECULECTOMY UNDERFILTERING BLEBS,adult;article;clinical article;clinical effectiveness;controlled study;eye disease;female;human;intraocular pressure;male;massage;ocular digital massage;postoperative complication;quasi experimental study;safety;trabeculectomy;underfiltering bleb;blister;eye;female;follow-up studies;glaucoma;open-angle;humans;intraocular pressure;male;massage;middle aged;postoperative care;postoperative complications;retrospective studies;time factors;trabeculectomy;treatment outcome;vision;ocular
471,HAND PAIN IS REDUCED BY MASSAGE THERAPY,anxiety;article;clinical trial;controlled clinical trial;controlled study;depression;hand;hand strength;human;massage;middle aged;muscle weakness;musculoskeletal pain;psychological aspect;randomized controlled trial;self care;sleep disorder;treatment outcome;anxiety;depression;hand;hand strength;humans;massage;middle aged;muscle weakness;musculoskeletal pain;self care;sleep disorders;treatment outcome
472,INTERMITTENT PRESSURE THERAPY OF INTRACTABLE MENIERE'S DISEASE AND DELAYED ENDOLYMPHATIC HYDROPS USING THE TRANSTYMPANIC MEMBRANE MASSAGE DEVICE: A PRELIMINARY REPORT,adult;article;clinical article;controlled study;device;disease duration;female;follow up;human;male;meniere disease;meniett device;myringotomy;pressure therapy;priority journal;therapy;transtympanic membrane massage device;treatment failure;vertigo;adult;aged;hearing loss;humans;meniere disease;middle aged;otolaryngology;pressure;tympanic membrane;vertigo
473,INTRODUCING A MASSAGE PROGRAMME TO HONG KONG,
474,EFFECTIVENESS OF REGULAR PROACTIVE MASSAGE THERAPY FOR NOVICE RECREATIONAL RUNNERS,adult;article;controlled study;daily life activity;documentation;exercise intensity;female;human;human experiment;individualization;leg pain;male;massage;motivation;muscle strength;nociception;normal human;priority journal;recreation;running;self concept;adult;female;humans;isometric contraction;leg;male;massage;muscle strength;muscle;skeletal;pain measurement;pain perception;prospective studies;running;self concept;statistics as topic;thigh;time factors
475,THE EFFECTS OF HEAT AND MASSAGE APPLICATION ON AUTONOMIC NERVOUS SYSTEM,hydrocortisone;noradrenalin;adult;aged;article;autonomic nerve;autonomic nervous system;burn;controlled study;female;heart rate variability;heat;human;human experiment;hydrocortisone blood level;male;massage;nerve conduction;noradrenalin blood level;normal human;skin conductance;stress;sympathetic function;autonomic nervous system;female;heart rate;hot temperature;humans;hydrocortisone;male;massage;norepinephrine
476,PULMONARY FUNCTIONS OF CHILDREN WITH ASTHMA IMPROVE FOLLOWING MASSAGE THERAPY,adolescent;article;asthma;child;clinical assessment;controlled study;female;forced expiratory flow;forced vital capacity;human;lung function;major clinical study;male;massage;open study;peak expiratory flow;priority journal;randomized controlled trial;school child;spirometry;statistical significance;asthma;child;female;forced expiratory volume;humans;lung;male;massage;peak expiratory flow rate;respiratory function tests;spirometry;vital capacity
477,"EFFECTIVENESS EVALUATION OF AN INTEGRATED AUTOMATIC TERMOMECHANIC MASSAGE SYSTEM (SMATH®SYSTEM) IN NON-SPECIFIC SUB-ACUTE AND CHRONIC LOW BACK PAIN - A RANDOMIZED DOUBLE-BLINDED CONTROLLED TRIAL, COMPARING SMATH THERAPY VERSUS SHAM THERAPY: STUDY PROTOCOL FOR A RANDOMIZED CONTROLLED TRIAL",acupressure;acupuncture;article;chronic pain;clinical protocol;cognitive therapy;device;disability;double blind procedure;exercise;hyperthermic therapy;italy;low back pain;manipulative medicine;moxibustion;questionnaire;randomized controlled trial (topic);roland morris disability questionnaire;adolescent;adult;aged;chronic disease;clinical protocol;clinical trial;controlled clinical trial;controlled study;human;infrared radiation;instrumentation;massage;methodology;middle aged;outcome assessment;randomized controlled trial;sample size;acupressure;adolescent;adult;aged;chronic disease;clinical protocols;double-blind method;humans;hyperthermia;induced;infrared rays;low back pain;massage;middle aged;moxibustion;outcome assessment (health care);research design;sample size
478,THE USE OF ABDOMINAL MASSAGE TO TREAT CHRONIC CONSTIPATION,antacid agent;anticonvulsive agent;antidepressant agent;antihistaminic agent;diuretic agent;iron;laxative;opiate;abdomen;abdominal blunt trauma;abdominal discomfort;abdominal infection;abdominal massage;abdominal surgery;aged;aging;anus fissure;anxiety;article;ascending colon;celiac disease;cerebral palsy;childbirth;chronic disease;clinical effectiveness;cognitive defect;colorectal cancer;constipation;crohn disease;defecation habit;dehydration;depression;diabetes mellitus;digestion;digestive function;diverticulosis;emotional stress;endometriosis;feces incontinence;guillain barre syndrome;hemorrhoid;hernia;human;hypothyroidism;hysterectomy;intestine motility;intestine perforation;intestine transit time;irritable colon;lifestyle;massage;mood change;multiple sclerosis;nerve ending;parkinson disease;pathophysiology;peristalsis;randomized controlled trial (topic);rectum;sensory nerve cell;sexual abuse;small intestine;smooth muscle;spinal cord disease;spinal cord injury;stomach distension;stomach muscle;stomach wall;stroke;transverse colon;tumor;vagus nerve;vibration;wellbeing;abdomen;chronic disease;constipation;gastrointestinal transit;humans;massage;peristalsis
479,CONSTRUCTION OF AN INTELLIGENT MASSAGE SYSTEM BASED ON HUMAN SKIN-MUSCLE ELASTICITY,database;experimental studies;impedance control;massage chair;massage force;physical conditions;realizability;system-based;elasticity;muscle;physical therapy
480,TACTILE MASSAGE AND HYPNOSIS AS A HEALTH PROMOTION FOR NURSES IN EMERGENCY CARE-A QUALITATIVE STUDY,article;emergency ward;health promotion;human;hypnosis;leisure;massage;nurse patient relationship;nursing staff;occupational health;outcome assessment;patient care;physical activity;self concept;self control;semi structured interview;stress management;sweden;tactile massage;treatment outcome;university hospital;wellbeing;work capacity;emergency health service;female;health promotion;male;manpower;mental stress;nursing staff;psychological aspect;qualitative research;emergency medical services;female;health promotion;humans;hypnosis;male;massage;nursing staff;hospital;qualitative research;stress;psychological
481,"EFFECTS OF MASSAGE ON PAIN, MOOD STATUS, RELAXATION, AND SLEEP IN TAIWANESE PATIENTS WITH METASTATIC BONE PAIN: A RANDOMIZED CLINICAL TRIAL",adult;article;attention;bone metastasis;bone pain;cancer pain;cancer patient;controlled study;female;human;leisure;major clinical study;male;massage;mood;pain assessment;pain intensity;priority journal;randomized controlled trial;scoring system;sleep quality;taiwan;treatment outcome;visual analog scale;adult;affect;aged;aged;80 and over;bone neoplasms;female;humans;male;massage;middle aged;pain management;pain measurement;quality of life;relaxation therapy;sleep;taiwan
482,PHYSIOLOGICAL AND CLINICAL CHANGES AFTER THERAPEUTIC MASSAGE OF THE NECK AND SHOULDERS,adult;alternative medicine;article;clinical effectiveness;controlled study;crossover procedure;down regulation;electromyography;female;hoffmann reflex;human;human experiment;intermethod comparison;male;massage;muscle contraction;muscle excitation;muscle function;neck;normal human;physiological process;priority journal;randomized controlled trial;range of motion;shoulder;therapy effect;trapezius muscle;adult;cross-over studies;female;humans;male;massage;musculoskeletal diseases;neck muscles;range of motion;articular;shoulder;young adult
483,EFFICACY OF MASSAGE WITH ROGHAN SEER IN MOTOR RECOVERY IN HEMIPLEGIA SECONDARY TO ISCHAEMIC STROKE,
484,REPAIR OF LACERATED INTRAPERICARDIAL INFERIOR VENA CAVA AFTER CARDIAC MASSAGE,creatine kinase;creatine kinase mb;troponin;acute coronary syndrome;aged;angiocardiography;article;blood vessel injury;cardiopulmonary bypass;case report;computer assisted tomography;creatine kinase blood level;dyspnea;echocardiography;electrocardiogram;endovascular surgery;falling;heart hemodynamics;heart massage;heart tamponade;human;intrapericardial laceration of the inferior vena cava;male;outcome assessment;pericardial effusion;pericardiotomy;priority journal;sternotomy;unconsciousness;acute coronary syndrome;aged;diagnosis;differential;echocardiography;follow-up studies;heart massage;humans;lacerations;male;pericardial effusion;pericardium;suture techniques;tomography;x-ray computed;vascular surgical procedures;vena cava;inferior
485,CERVICAL CORD INJURY AFTER MASSAGE,article;case report;cervical spine;human;intervertebral disk hernia;male;massage;middle aged;spinal cord compression;cervical vertebrae;humans;intervertebral disc displacement;male;massage;middle aged;spinal cord compression
486,DYNAMICS OF THE BLOOD FLOW IN THE CURVED ARTERY WITH THE ROLLING MASSAGE,arterial disease;arterial wall;blood flow;dynamic effects;dynamic factors;lattice boltzmann method;flow velocity;hemodynamics;physical therapy
487,MEANING AND CHALLENGES IN THE PRACTICE OF MULTIPLE THERAPEUTIC MASSAGE MODALITIES: A COMBINED METHODS STUDY,article;canada;clinical practice;clinical research;feedback system;health care personnel;health survey;human;manipulative medicine;medical education;personalized medicine;private practice;sex difference;therapeutic massage and bodywork;adult;continuing education;education;female;interview;male;massage;questionnaire;standard;adult;alberta;education;continuing;female;humans;interviews as topic;male;massage;musculoskeletal manipulations;physician's practice patterns;questionnaires
488,THE EFFECTS OF PRETERM INFANT MASSAGE ON BRAIN ELECTRICAL ACTIVITY,alpha rhythm;article;beta rhythm;brain maturation;clinical article;controlled study;delta rhythm;electroencephalography;human;infant massage;massage;newborn;newborn care;perinatal period;prematurity;priority journal;randomized controlled trial;single blind procedure;sleep;tactile stimulation;theta rhythm;brain;child development;electroencephalography;fourier analysis;gestational age;humans;infant;newborn;infant;premature;massage
489,EXPLORING THE EFFECT OF FOOT MASSAGE ON AGITATED BEHAVIOURS IN OLDER PEOPLE WITH DEMENTIA: A PILOT STUDY,age;aged;aging;article;australia;checklist;dementia;female;foot;home for the aged;human;long term care;male;massage;nursing home;pilot study;psychological aspect;psychological rating scale;restlessness;time;treatment outcome;age factors;aged;aged;80 and over;aging;checklist;dementia;female;foot;homes for the aged;humans;long-term care;male;massage;nursing homes;pilot projects;psychiatric status rating scales;psychomotor agitation;queensland;time factors;treatment outcome
490,EARLY INTERVENTION FOR AUTISM WITH A PARENT-DELIVERED QIGONG MASSAGE PROGRAM: A RANDOMIZED CONTROLLED TRIAL,analysis of variance;article;autism;child;child parent relation;chinese medicine;clinical trial;consumer health information;controlled clinical trial;controlled study;female;human;male;massage;methodology;parent;pilot study;preschool child;psychological aspect;randomized controlled trial;school;treatment outcome;university;analysis of variance;autistic disorder;child;child;preschool;consumer health information;faculty;female;humans;male;massage;medicine;chinese traditional;parent-child relations;parents;pilot projects;schools;treatment outcome
491,AN EXPLORATORY THERMOGRAPHIC INVESTIGATION OF THE EFFECTS OF CONNECTIVE TISSUE MASSAGE ON AUTONOMIC FUNCTION,adult;article;autonomic nervous system;connective tissue;diastolic blood pressure;female;heart rate;human;massage;participant observation;skin temperature;thermography;variance;adult;autonomic nervous system;back;blood pressure;connective tissue;female;foot;heart rate;humans;massage;middle aged;skin temperature;thermography;young adult
492,"DEPRESSION, MOOD, STRESS, AND TH1/TH2 IMMUNE BALANCE IN PRIMARY BREAST CANCER PATIENTS UNDERGOING CLASSICAL MASSAGE THERAPY",gamma interferon;interleukin 10;interleukin 2;interleukin 4;interleukin 5;tumor necrosis factor alpha;article;berlin mood questionnaire;breast cancer;cancer chemotherapy;cancer patient;cancer radiotherapy;cancer surgery;clinical article;clinical assessment tool;controlled study;depression;female;human;massage;mood;outcome assessment;patient health questionnaire;perceived stress questionnaire;pilot study;priority journal;questionnaire;stress;th1 th2 balance;affect;aged;breast neoplasms;cytokines;depression;female;humans;massage;middle aged;pilot projects;psychometrics;questionnaires;stress;psychological;th1 cells;th2 cells
493,CASE REPORT OF A PATIENT WITH CHEMOTHERAPY-INDUCED PERIPHERAL NEUROPATHY TREATED WITH MANUAL THERAPY (MASSAGE),capecitabine;cisplatin;docetaxel;fluorouracil;irinotecan;oxaliplatin;adult;article;cancer recurrence;cancer staging;case report;chemotherapy induced peripheral neuropathy;clinical feature;disease course;disease duration;dysphagia;endoscopic echography;epigastric discomfort;esophageal adenocarcinoma;esophagogastroduodenoscopy;esophagus resection;gastroesophageal reflux;general condition improvement;human;human tissue;lymph node biopsy;lymph node metastasis;lymphadenopathy;male;manipulative medicine;massage;medical history;mucosa inflammation;multiple cycle treatment;peripheral neuropathy;positive end expiratory pressure;priority journal;quality of life;sleep apnea syndrome;therapy effect;treatment duration;treatment outcome;weight reduction;adenocarcinoma;antineoplastic combined chemotherapy protocols;cisplatin;esophageal neoplasms;humans;male;massage;middle aged;neurotoxicity syndromes;peripheral nervous system diseases;quality of life;taxoids
494,SELF-AROMATHERAPY MASSAGE OF THE ABDOMEN FOR THE REDUCTION OF MENSTRUAL PAIN AND ANXIETY DURING MENSTRUATION IN NURSES: A PLACEBO-CONTROLLED CLINICAL TRIAL,placebo;adult;age distribution;anxiety;aromatherapy;article;clinical assessment;clinical effectiveness;controlled clinical trial;controlled study;dysmenorrhea;female;human;major clinical study;massage;nausea;nurse;outcome assessment;pain assessment;priority journal;self aromatherapy;visual analog scale
495,A PRELIMINARY EXAMINATION OF THE EFFECT OF MASSAGE ON STATE BODY IMAGE,adolescent;adult;aged;article;attitude;body image;body mass;clinical trial;controlled clinical trial;controlled study;female;human;massage;middle aged;multivariate analysis;psychological aspect;psychometry;questionnaire;randomized controlled trial;reproducibility;self concept;statistics;united states;adolescent;adult;aged;attitude;body image;body mass index;female;humans;massage;middle aged;multivariate analysis;new england;psychometrics;questionnaires;reproducibility of results;self concept;statistics as topic;young adult
496,DOES MASSAGE HELP TO PREVENT PRESSURE ULCERS?,article;decubitus;human;massage;humans;massage;pressure ulcer
497,MASSAGE THERAPY BY MOTHER OR NURSE: EFFECT ON WEIGHT GAIN IN PREMATURE INFANTS,article;fluid intake;gestational age;human;infant;length of stay;massage;mother;nurse;prematurity;randomized controlled trial;weight gain
498,"EFFECTS OF BREAST MASSAGE ON BREAST PAIN, BREAST-MILK SODIUM, AND NEWBORN SUCKLING IN EARLY POSTPARTUM MOTHERS",sodium;adult;article;breast feeding;breast milk;chemistry;clinical trial;controlled clinical trial;controlled study;female;human;lactation;male;massage;mastalgia;newborn;puerperium;adult;breast feeding;female;humans;infant;newborn;lactation;male;massage;mastodynia;milk;human;postpartum period;sodium
499,MASSAGE THERAPY IN POST-OPERATIVE REHABILITATION OF CHILDREN AND ADOLESCENTS WITH CEREBRAL PALSY - A PILOT STUDY,adolescent;analgesia;article;cerebral palsy;child;clinical trial;controlled clinical trial;controlled study;heart rate;human;massage;methodology;pain;pathophysiology;pilot study;postoperative care;postoperative complication;preschool child;randomized controlled trial;rest;adolescent;cerebral palsy;child;child;preschool;heart rate;humans;massage;pain;pain management;pilot projects;postoperative care;postoperative complications;rest
500,SUMMARIES FOR PATIENTS. A COMPARISON OF MASSAGE THERAPY AND USUAL MEDICAL CARE FOR CHRONIC LOW BACK PAIN.,adult;aged;article;chronic disease;female;follow up;human;low back pain;male;massage;methodology;middle aged;patient education;relaxation training;treatment outcome;adult;aged;chronic disease;female;follow-up studies;humans;low back pain;male;massage;middle aged;relaxation therapy;treatment outcome;young adult
501,SUMMARIES FOR PATIENTS A COMPARISON OF MASSAGE THERAPY AND USUAL MEDICAL CARE FOR CHRONIC LOW BACK PAIN,article;chronic pain;comparative study;daily life activity;human;low back pain;major clinical study;massage;medical care;medical research;muscle relaxation;outcome assessment;priority journal;treatment outcome
502,THE EFFECT OF A CORPORATE CHAIR MASSAGE PROGRAM ON MUSCULOSKELETAL DISCOMFORT AND JOINT RANGE OF MOTION IN OFFICE WORKERS,adult;article;chair;controlled study;female;goniometry;human;human experiment;joint characteristics and functions;low back pain;massage;musculoskeletal disease;musculoskeletal pain;normal human;office worker;priority journal;questionnaire;self report;slovenia;workplace;adult;back pain;female;humans;massage;middle aged;movement;neck pain;occupational health;occupational health services;pain measurement;questionnaires;range of motion;articular;workplace
503,EFFECTS OF INFANT MASSAGE ON HIV-INFECTED MOTHERS AND THEIR INFANTS,adult;article;clinical trial;comparative study;controlled clinical trial;controlled study;education;female;follow up;human;human immunodeficiency virus infection;intervention study;massage;methodology;mother;mother child relation;newborn;pilot study;pregnancy;psychological aspect;puerperal depression;randomized controlled trial;treatment outcome;adult;depression;postpartum;female;follow-up studies;hiv infections;humans;infant;newborn;intervention studies;massage;mother-child relations;mothers;pilot projects;pregnancy;treatment outcome;young adult
504,SUPPLEMENT: SCOPE OF PRACTICE FOR MASSAGE THERAPISTS,accreditation;alternative medicine;certification;education;human;massage;medical education;medical society;standards;united states;certification;complementary therapies;credentialing;education;medical;humans;joint commission on accreditation of healthcare organizations;massage;societies;medical;united states
505,MASSAGE THERAPY USAGE AND REPORTED HEALTH IN OLDER ADULTS EXPERIENCING PERSISTENT PAIN,aged;article;emotional stability;fatigue;health behavior;health survey;human;major clinical study;male;massage;pain;patient participation;priority journal;self report;activities of daily living;aged;aged;80 and over;emotions;fatigue;female;health status;health surveys;humans;interpersonal relations;kentucky;male;massage;mental health;middle aged;pain;self report;severity of illness index
506,PATHWAYS OF LYMPH AND TISSUE FLUID FLOW DURING INTERMITTENT PNEUMATIC MASSAGE OF LOWER LIMBS WITH OBSTRUCTIVE LYMPHEDEMA,isotope;abdomen;adult;article;clinical article;controlled study;disease duration;flow measurement;fluid flow;human;hypogastric region;intermittent pneumatic compression device;leg;leg massage;lymph flow;lymphedema;lymphoscintigraphy;massage;obstructive lymphedema;priority journal;tissue water;body fluid;diffusion;female;leg;lymph;lymphography;male;massage;methodology;middle aged;pathophysiology;physiology;pressure;scintiscanning;adult;body fluids;diffusion;female;humans;lower extremity;lymph;lymphedema;lymphography;male;massage;middle aged;pressure
507,EFFECTS OF TRADITIONAL JAPANESE MASSAGE THERAPY ON GENE EXPRESSION: PRELIMINARY STUDY,adult;article;blood analysis;controlled study;female;gene expression;gene identification;human;human experiment;immune function test;immune response;massage;normal human;priority journal;traditional medicine;female;gene expression;humans;immune system;immunity;japan;massage;medicine;east asian traditional;microarray analysis;middle aged;pilot projects;research design;treatment outcome
508,CLINICAL STUDY ON MASSAGE IN TREATING CERVICAL SPONDYLOSIS OF VERTEBRAL ARTERY TYPE,
509,ACUPUNCTURE AND MASSAGE THERAPY FOR NEUROPATHIC PAIN FOLLOWING SPINAL CORD INJURY: AN EXPLORATORY STUDY,acupuncture;adaptive behavior;adult;article;clinical trial;controlled clinical trial;controlled study;female;hospitalization;human;intention to treat analysis;male;massage;middle aged;neuralgia;pain assessment;spinal cord injury;treatment outcome;acupuncture therapy;adaptation;psychological;adult;female;humans;intention to treat analysis;male;massage;middle aged;neuralgia;pain measurement;severity of illness index;spinal cord injuries;treatment outcome
510,EFFECT OF MASSAGE IN POSTMENOPAUSAL WOMEN WITH INSOMNIA - A PILOT STUDY,aged;anxiety;article;depression;evaluation;female;human;insomnia;massage;middle aged;nonparametric test;pathophysiology;physiology;pilot study;polysomnography;postmenopause;psychological aspect;treatment outcome;aged;anxiety;depression;female;humans;massage;middle aged;pilot projects;polysomnography;postmenopause;sleep initiation and maintenance disorders;statistics;nonparametric;treatment outcome
511,EFFECT OF MASSAGE THERAPY ON STRESS LEVELS AND QUALITY OF LIFE IN BRAIN TUMOR PATIENTS - OBSERVATIONS FROM A PILOT STUDY,adult;article;brain tumor;clinical article;clinical trial;emotionality;family relation;functional assessment;human;massage;mental stress;observational study;outcome assessment;pilot study;primary tumor;priority journal;psychological well being;quality of life;scoring system;social psychology;therapy effect;treatment duration;brain neoplasms;female;humans;male;massage;patient acceptance of health care;pilot projects;prospective studies;psychometrics;quality of life;stress;psychological;treatment outcome
512,PILOT STUDY INVESTIGATING THE EFFECTS OF AYURVEDIC ABHYANGA MASSAGE ON SUBJECTIVE STRESS EXPERIENCE,abhyanga massage;adult;article;ayurveda;blood pressure measurement;female;heart rate;human;male;massage;normal human;physiology;pilot study;priority journal;questionnaire;stress;validation process;adult;blood pressure;female;heart rate;humans;hypertension;male;massage;medicine;ayurvedic;middle aged;perception;pilot projects;questionnaires;stress;psychological
513,CAROTID SINUS MASSAGE.,aged;article;artificial heart pacemaker;atrioventricular block;case report;heart massage;human;male;methodology;treatment outcome;aged;80 and over;atrioventricular block;heart massage;humans;male;pacemaker;artificial;treatment outcome
514,CONNECTIVE TISSUE REFLEX MASSAGE FOR TYPE 2 DIABETIC PATIENTS WITH PERIPHERAL ARTERIAL DISEASE: RANDOMIZED CONTROLLED TRIAL,adult;arterial pressure;article;circulation;connective tissue;controlled study;female;foot;heart rate;human;intermittent claudication;leg;magnetotherapy;major clinical study;male;massage;measurement;non insulin dependent diabetes mellitus;oxygen saturation;peripheral circulation;peripheral occlusive artery disease;priority journal;randomized controlled trial;skin blood flow;skin temperature;toe
515,POST-PROSTATIC MASSAGE FLUID/URINE AS AN ALTERNATIVE TO SEMEN FOR STUDYING MALE GENITOURINARY HIV-1 SHEDDING,virus rna;adult;article;blood sampling;clinical article;feasibility study;human;human immunodeficiency virus 1 infection;interview;male;male genital tract infection;patient compliance;priority journal;prostate fluid;quantitative analysis;real time polymerase chain reaction;semen analysis;sexual behavior;urinalysis;validity;virus infectivity;adult;bodily secretions;feasibility studies;hiv infections;hiv-1;humans;male;massage;middle aged;prognosis;prostate;rna;viral;semen;urogenital system;virus shedding
516,A QUALITATIVE INVESTIGATION INTO THE USEFULNESS AND IMPACT OF THE PERFORMANCE INTERVENTION ZONE SYSTEM USED IN THE DIAGNOSTIC ASSESSMENT OF INTERNATIONALLY EDUCATED MASSAGE THERAPISTS,adult;article;clinical examination;communication skill;female;human;male;massage;medical education;structured interview;adult;clinical competence;communication;decision making;educational measurement;female;humans;internationality;interviews as topic;male;massage;middle aged;qualitative research;self efficacy
517,IMPACT OF A MECHANICAL MASSAGE ON GENE EXPRESSION PROFILE AND LIPID MOBILIZATION IN FEMALE GLUTEOFEMORAL ADIPOSE TISSUE,beta adrenergic receptor;glycerol;isoprenaline;adipose tissue;adult;article;blood flow;body regions;controlled study;drug effect;female;gene expression profiling;gluteofemoral adipose tissue;human;human tissue;lipid metabolism;lipolysis;massage;mechanical stimulation;microdialysis;normal human;premenopause;priority journal;rna isolation;tissue level;vasodilatation;adipose tissue;adult;biopsy;buttocks;dialysis;female;gene expression profiling;humans;isoproterenol;leg;lipid mobilization;massage;overweight;regional blood flow;rna;treatment outcome;vasodilation
518,RELATIONSHIP BETWEEN MASSAGE THERAPY USAGE AND HEALTH OUTCOMES IN OLDER ADULTS,adult;aged;article;comorbidity;emotionality;female;human;male;massage;self report;age factors;aged;aged;80 and over;aging;emotions;female;health behavior;health status;humans;male;massage;middle aged;quality of life;sex factors;socioeconomic factors
519,"BENEFITS OF MASSAGE-MYOFASCIAL RELEASE THERAPY ON PAIN, ANXIETY, QUALITY OF SLEEP, DEPRESSION, AND QUALITY OF LIFE IN PATIENTS WITH FIBROMYALGIA",placebo;adult;anxiety;article;depression;female;fibromyalgia;human;major clinical study;male;massage;myofascial release therapy;outcome assessment;pain;priority journal;quality of life;randomized controlled trial;sleep pattern
520,PRIMARY MASSAGE USING ONE-FINGER TWINING MANIPULATION FOR TREATMENT OF INFANTILE MUSCULAR TORTICOLLIS,article;comparative study;controlled study;echography;female;head movement;human;infant;infant disease;joint characteristics and functions;major clinical study;male;massage;orthopedic manipulation;priority journal;randomized controlled trial;single blind procedure;sternocleidomastoid muscle;torticollis;female;fingers;humans;infant;infant;newborn;male;massage;neck muscles;single-blind method;torticollis;treatment outcome;ultrasonography;doppler
521,"CULTURAL RESOURCES FOR HEALTH PARTICIPATION: EXAMINING BIOMEDICINE, ACUPUNCTURE, AND MASSAGE THERAPY FOR HIV-RELATED PERIPHERAL NEUROPATHY",acupuncture;article;cultural factor;decision making;drug therapy;human;human immunodeficiency virus;human immunodeficiency virus infection;literature;massage;patient participation;perception;peripheral neuropathy;psychological aspect;virology;acupuncture therapy;cultural characteristics;decision making;drug therapy;hiv;hiv infections;humans;massage;patient participation;perception;peripheral nervous system diseases;review literature as topic
522,MASSAGE THERAPY FOR CHILDREN WITH AUTISM SPECTRUM DISORDERS: A SYSTEMATIC REVIEW,adaptive behavior;article;autism;communication skill;controlled clinical trial (topic);disease severity;emotional attachment;human;massage;priority journal;randomized controlled trial (topic);reading;social adaptation;socialization;special education;speech therapy;systematic review;therapy effect;treatment response;autistic disorder;child;child development disorders;pervasive;humans;massage;treatment outcome
523,"USE OF AUTOPULSE™ AUTOMATED BAND CHEST COMPRESSION DEVICE IN OUT-OF-HOSPITAL CARDIAC ARREST RESUSCITATION: EFFECT ON HEMODYNAMICS [UTILISATION DE LA CEINTURE THORACIQUE AUTOPULSE TM, DISPOSITIF AUTOMATIS  DE MASSAGE CARDIAQUE EXTERNE, DANS LA R ANIMATION DE L'ARR T CARDIAQUE EXTRAHOSPITALIER: QUEL IMPACT SUR L'H MODYNAMIQUE?]",article;cardiovascular equipment;heart hemodynamics;out of hospital cardiac arrest;resuscitation
524,"MASSAGE RUB, OIL FREE",carbomer;diazolidinyl urea;glycerol;macrogol;methyl paraben;oil;propyl paraben;triethanolamine;water;article;drug labeling;drug packaging;drug stability;drug use;lotion;massage;quality control
525,INFANT MASSAGE FOR CHILDREN WITH DISABILITIES AND SPECIAL NEEDS,alternative medicine;article;child care;handicapped child;holistic nursing;human;massage;methodology;midwife;newborn;nursing;object relation;disabled children;holistic nursing;humans;infant care;infant;newborn;massage;midwifery;object attachment;therapeutic touch
526,THE EFFECT OF A LIGHTWEIGHT MASSAGE SYSTEM IN A CAR SEAT ON COMFORT AND ELECTROMYOGRAM,article;car driving;controlled study;device;electromyogram;female;human;human experiment;lightweight low intensity massage system;male;massage;neck muscle;shoulder;adolescent;adult;automobile driving;automobiles;back;electromyography;equipment design;female;humans;male;massage;muscle;skeletal;neck muscles;questionnaires;shoulder;young adult
527,PSYCHOPHYSIOLOGICAL EFFECTS OF PREPERFORMANCE MASSAGE BEFORE ISOKINETIC EXERCISE,adult;article;athletic performance;clinical trial;comparative study;controlled clinical trial;controlled study;crossover procedure;echography;exercise;female;human;male;massage;methodology;muscle fatigue;muscle isometric contraction;muscle relaxation;physiology;psychological aspect;psychophysiology;randomized controlled trial;single blind procedure;skeletal muscle;sport;sport injury;time;athletic injuries;athletic performance;cross-over studies;exercise;female;humans;isometric contraction;male;massage;muscle fatigue;muscle relaxation;muscle;skeletal;psychophysiology;single-blind method;sports;time factors;young adult
528,USING MASSAGE TO EASE CONSTIPATION.,laxative;adult;aged;article;clinical nursing research;clinical trial;constipation;controlled clinical trial;controlled study;female;human;male;massage;methodology;middle aged;multimodality cancer therapy;nursing;pathophysiology;psychological aspect;randomized controlled trial;time;treatment outcome;adult;aged;aged;80 and over;clinical nursing research;combined modality therapy;constipation;female;humans;laxatives;male;massage;middle aged;time factors;treatment outcome
529,"REDUCTION IN THIGH CIRCUMFERENCE AND IMPROVEMENT IN THE APPEARANCE OF CELLULITE WITH DUAL-WAVELENGTH, LOW-LEVEL LASER ENERGY AND MASSAGE",adult;article;cellulite;controlled study;device;energy;erythema;female;human;low level laser therapy;major clinical study;massage;micturition disorder;multicenter study (topic);open study;priority journal;reduction;safety;skin disease;swelling;thigh;adipose tissue;adult;cosmetic techniques;female;humans;laser therapy;low-level;massage;thigh
530,EFFECTIVENESS OF AROMA MASSAGE ON ADVANCED CANCER PATIENTS WITH CONSTIPATION: A PILOT STUDY,adult;aged;aromatherapy;article;clinical trial;constipation;controlled clinical trial;controlled study;defecation;female;hospitalization;human;male;massage;methodology;middle aged;neoplasm;pilot study;quality of life;randomized controlled trial;adult;aged;aged;80 and over;aromatherapy;constipation;defecation;female;humans;male;massage;middle aged;neoplasms;pilot projects;quality of life;severity of illness index
